timestamp,server_id,cpu,memory,temperature,power,scenario,label
2026-09-10T00:00:00+00:00,server01,47.3,66.26,49.38,197.8,normal,0
2026-09-10T00:00:10+00:00,server01,74.7,50.26,81.08,267.53,cooling_fault,1
2026-09-10T00:00:20+00:00,server01,88.78,55.99,64.45,313.6,normal,0
2026-09-10T00:00:30+00:00,server01,57.14,40.62,52.63,228.92,normal,0
2026-09-10T00:00:40+00:00,server01,40.13,73.34,43.58,194.9,normal,0
2026-09-10T00:00:50+00:00,server01,49.67,60.48,48.62,220.8,normal,0
2026-09-10T00:01:00+00:00,server01,92.24,47.32,59.84,320.49,normal,0
2026-09-10T00:01:10+00:00,server01,21.04,42.4,34.89,148.43,normal,0
2026-09-10T00:01:20+00:00,server01,80.78,37.43,59.9,279.77,normal,0
2026-09-10T00:01:30+00:00,server01,96.35,95.66,66.34,341.73,overload,1
2026-09-10T00:01:40+00:00,server01,10.63,59.34,35.61,111.65,normal,0
2026-09-10T00:01:50+00:00,server01,49.01,45.42,46.33,223.2,normal,0
2026-09-10T00:02:00+00:00,server01,50.04,29.76,46.51,210.33,normal,0
2026-09-10T00:02:10+00:00,server01,57.53,66.9,49.09,234.45,normal,0
2026-09-10T00:02:20+00:00,server01,44.72,35.86,42.25,190.74,normal,0
2026-09-10T00:02:30+00:00,server01,34.96,65.36,40.95,184.77,normal,0
2026-09-10T00:02:40+00:00,server01,44.54,61.85,43.6,202.55,normal,0
2026-09-10T00:02:50+00:00,server01,71.4,62.3,53.58,270.15,normal,0
2026-09-10T00:03:00+00:00,server01,69.19,64.98,53.92,262.16,normal,0
2026-09-10T00:03:10+00:00,server01,40.75,33.29,40.3,179.82,normal,0
2026-09-10T00:03:20+00:00,server01,69.48,49.33,84.51,258.69,cooling_fault,1
2026-09-10T00:03:30+00:00,server01,48.2,51.92,44.02,208.53,normal,0
2026-09-10T00:03:40+00:00,server01,27.2,61.52,40.23,158.98,normal,0
2026-09-10T00:03:50+00:00,server01,96.22,93.41,64.37,339.12,overload,1
2026-09-10T00:04:00+00:00,server01,65.24,39.65,53.37,250.22,normal,0
2026-09-10T00:04:10+00:00,server01,38.04,60.35,47.7,179.89,normal,0
2026-09-10T00:04:20+00:00,server01,88.64,49.15,56.89,312.55,normal,0
2026-09-10T00:04:30+00:00,server01,91.48,39.77,62.96,318.18,normal,0
2026-09-10T00:04:40+00:00,server01,51.71,61.22,45.13,205.41,normal,0
2026-09-10T00:04:50+00:00,server01,38.18,48.77,41.53,185.14,normal,0
2026-09-10T00:05:00+00:00,server01,96.47,94.52,60.66,326.49,overload,1
2026-09-10T00:05:10+00:00,server01,33.9,59.21,47.17,180.18,normal,0
2026-09-10T00:05:20+00:00,server01,87.86,37.23,57.86,296.23,normal,0
2026-09-10T00:05:30+00:00,server01,80.53,67.58,55.48,301.0,normal,0
2026-09-10T00:05:40+00:00,server01,53.78,54.39,46.86,228.96,normal,0
2026-09-10T00:05:50+00:00,server01,46.98,35.83,46.96,216.14,normal,0
